f,s11,idk
3.880000000000000E9,3.747190563918401E1,-3.775376434588698E1  
3.885000000000000E9,3.722956144245252E1,-3.846514478567021E1  
3.890000000000000E9,3.709319589339852E1,-3.870238301160288E1  
3.895000000000000E9,3.719368066715467E1,-3.830849342353925E1  
3.900000000000000E9,3.687003587575858E1,-3.929045254425988E1  
3.905000000000000E9,3.698502912661373E1,-3.938518095636530E1  
3.910000000000000E9,3.659059981830831E1,-4.040697874083378E1  
3.915000000000000E9,3.664886940447322E1,-4.018092440089311E1  
3.920000000000000E9,3.671644789307641E1,-4.017451087491207E1  
3.925000000000000E9,3.658252554824513E1,-4.027412217579538E1  
3.930000000000000E9,3.632949248636087E1,-4.032316189221985E1  
3.935000000000000E9,3.625322275183240E1,-4.012508722744136E1  
3.940000000000000E9,3.625611985812018E1,-3.979093677024804E1  
3.945000000000000E9,3.631177996175693E1,-3.898125646721651E1  
3.950000000000000E9,3.638400809652265E1,-3.884456001826648E1  
3.955000000000000E9,3.617083967617168E1,-3.956428962930556E1  
3.960000000000000E9,3.598987193524091E1,-3.940071329121719E1  
3.965000000000000E9,3.577463502984696E1,-4.134893349822119E1  
3.970000000000000E9,3.558251742634955E1,-4.212093353004104E1  
3.975000000000000E9,3.553300914256698E1,-4.272207645396102E1  
3.980000000000000E9,3.545983834304549E1,-4.272708624086074E1  
3.985000000000000E9,3.529379192763875E1,-4.210184726373233E1  
3.990000000000000E9,3.533392724079977E1,-3.979836953941061E1  
3.995000000000000E9,3.509728606611392E1,-4.141799096609681E1  
4.000000000000000E9,3.507236725481989E1,-4.190936156959530E1  
4.005000000000000E9,3.507964798686432E1,-4.250499738898090E1  
4.010000000000000E9,3.509323481733394E1,-4.291469585579267E1  
4.015000000000000E9,3.515052586201208E1,-4.236009085036741E1  
4.020000000000000E9,3.498995088497211E1,-4.167318080365136E1  
4.025000000000000E9,3.473391128266793E1,-4.201705817835077E1  
4.030000000000000E9,3.473634392411806E1,-4.198590500228027E1  
4.035000000000000E9,3.481034291112572E1,-4.254306290216174E1  
4.040000000000000E9,3.449017449894881E1,-4.256353977452492E1  
4.045000000000000E9,3.457233590244413E1,-4.303543175778187E1  
4.050000000000000E9,3.431051924329737E1,-4.303092905640608E1  
4.055000000000000E9,3.428499561562743E1,-4.292206155594702E1  
4.060000000000000E9,3.427309571039798E1,-4.274828198465787E1  
4.065000000000000E9,3.437485003954692E1,-4.291288445509304E1  
4.070000000000000E9,3.423671323704265E1,-4.343403332152191E1  
4.075000000000000E9,3.445718787666909E1,-4.361140434898474E1  
4.080000000000000E9,3.423307859817297E1,-4.488127983472970E1  
4.085000000000000E9,3.435280637431459E1,-4.468620262908024E1  
4.090000000000000E9,3.387203634547068E1,-4.466671076939517E1  
4.095000000000000E9,3.391178956863651E1,-4.415370631266809E1  
4.100000000000000E9,3.382328870020695E1,-4.432062259127714E1  
4.105000000000000E9,3.405432840307205E1,-4.456120892791827E1  
4.110000000000000E9,3.373878262965481E1,-4.460238957065617E1  
4.115000000000000E9,3.370198522078652E1,-4.498657795026443E1  
4.120000000000000E9,3.376508784578425E1,-4.470138205824023E1  
4.125000000000000E9,3.365324813535798E1,-4.503279941806672E1  
