f,s11,idk
3.000000000000000E9,-1.428908143920511,1.712310441295065E2  
3.000666666666667E9,-1.459246373155908,1.710418229032772E2  
3.001333333333334E9,-1.393850378646387,1.696389350478272E2  
3.002000000000000E9,-1.382392302696271,1.681215193773801E2  
3.002666666666667E9,-1.399291452276539,1.688562765785008E2  
3.003333333333334E9,-1.357776365893984,1.705944587448275E2  
3.004000000000000E9,-1.409430658707993,1.691735530965055E2  
3.004666666666667E9,-1.345305368858377,1.663350603961788E2  
3.005333333333334E9,-1.417594983374746,1.673330420036490E2  
3.006000000000000E9,-1.398984362104198,1.677392470334256E2  
3.006666666666667E9,-1.351693237400723,1.701767101219888E2  
3.007333333333334E9,-1.432357447913225,1.680655602032430E2  
3.008000000000000E9,-1.329784234702905,1.686134709011562E2  
3.008666666666667E9,-1.372497479900709,1.658225973958172E2  
3.009333333333334E9,-1.420039613469078,1.674133224513003E2  
3.010000000000000E9,-1.438032961487302,1.722581310567400E2  
3.010666666666667E9,-1.444012435608026,1.667857993052776E2  
3.011333333333334E9,-1.434856664276558,1.681195927066051E2  
3.012000000000000E9,-1.439430912341266,1.690871996149296E2  
3.012666666666667E9,-1.477861641884360,1.699042130855403E2  
3.013333333333334E9,-1.405218584663004,1.679188013641922E2  
3.014000000000000E9,-1.477191774620303,1.683027349138226E2  
3.014666666666667E9,-1.410506472432566,1.697180730101268E2  
3.015333333333334E9,-1.394197038016826,1.699620420125376E2  
3.016000000000000E9,-1.478452560653383,1.659046668585658E2  
3.016666666666667E9,-1.455875853500471,1.658053090930188E2  
3.017333333333334E9,-1.399681455907816,1.711984854955520E2  
3.018000000000000E9,-1.494752734172480,1.694742466143636E2  
3.018666666666667E9,-1.346094479786734,1.704309408337301E2  
3.019333333333334E9,-1.312101643398292,1.746864535129132E2  
3.020000000000000E9,-1.473887964452492,1.675247093054985E2  
3.020666666666667E9,-1.355402024848872,1.727976298017256E2  
3.021333333333334E9,-1.440251590060182,1.698548541943012E2  
3.022000000000000E9,-1.450343119477801,1.679215156958422E2  
3.022666666666667E9,-1.460875127746974,1.688374197118657E2  
3.023333333333334E9,-1.488348281189651,1.676279745739153E2  
3.024000000000000E9,-1.409989080845054,1.701233540890180E2  
3.024666666666667E9,-1.480242226436640,1.689527170162268E2  
3.025333333333334E9,-1.509294378392617,1.689011062212386E2  
3.026000000000000E9,-1.442283266137410,1.685954680427980E2  
3.026666666666667E9,-1.425853337490696,1.698655445635956E2  
3.027333333333334E9,-1.526637911661392,1.686627893538143E2  
3.028000000000000E9,-1.495438982211188,1.695098404011025E2  
3.028666666666667E9,-1.517026907567659,1.697781838877594E2  
3.029333333333334E9,-1.466377729657251,1.710692476584942E2  
3.030000000000000E9,-1.491524996896699,1.694634752176567E2  
3.030666666666667E9,-1.493066973396494,1.698832214896153E2  
3.031333333333334E9,-1.506170671905414,1.673071079927936E2  
3.032000000000000E9,-1.470658485077936,1.691818516443190E2  
3.032666666666667E9,-1.518980254815216,1.685815628801202E2  
3.033333333333334E9,-1.488039406260476,1.698067253692935E2  
3.034000000000000E9,-1.511962631242757,1.680301616060797E2  
3.034666666666667E9,-1.666181597884812,1.662840893016976E2  
3.035333333333334E9,-1.429202518792585,1.700696541865202E2  
3.036000000000000E9,-1.567432503658557,1.673611875490425E2  
3.036666666666667E9,-1.533385947928412,1.682408089802971E2  
3.037333333333334E9,-1.578414551862688,1.685836398899194E2  
3.038000000000000E9,-1.508024347523495,1.684613398164971E2  
3.038666666666667E9,-1.477594345786438,1.677210578344053E2  
3.039333333333334E9,-1.386525398665108,1.722485636607959E2  
3.040000000000000E9,-1.440820696970988,1.695312118477865E2  
3.040666666666667E9,-1.550984624155030,1.686745322016975E2  
3.041333333333334E9,-1.630185375143336,1.680990369280859E2  
3.042000000000000E9,-1.385766978738680,1.727476571900501E2  
3.042666666666667E9,-1.765586717797802,1.649720592774817E2  
3.043333333333334E9,-1.540655319131178,1.698726708156792E2  
